Sample,Composition,pctProt,Study,Timepoint,PC1,PC2,PC3
PT159,Animal,p02,Protein Titration Pilot ,D3,-0.038633084,0.079150266,-0.09155968
PT133,Animal,p06,Protein Titration Pilot ,D2,-0.012101911,0.063982476,-0.086870732
PT050,Animal,p02,Protein Titration Pilot ,D2,-0.041217408,-0.063732601,0.026287505
PT118,Plant,p02,Protein Titration Pilot ,D1,-0.087629857,0.02966224,0.020987704
PT166,Animal,p18,Protein Titration Pilot ,D7,-0.095687192,-0.023170615,-0.050317791
PT043,Animal,p10,Protein Titration Pilot ,D2,-0.03990246,-0.006425512,0.075872187
PT058,Plant,p18,Protein Titration Pilot ,D1,-0.063169398,-0.039568403,0.045185345
N5,Plant,p18,NHANES Mouse Pilot,D7,0.124423914,0.072789035,0.02610643
PT126,Animal,p14,Protein Titration Pilot ,D2,-0.089164795,-0.063800853,-0.050143349
PT023,Plant,p10,Protein Titration Pilot ,D3,-0.061547911,0.026826326,0.13465201
PT008,Animal,p14,Protein Titration Pilot ,D4,-0.032641042,0.013171077,0.131765672
PT174,Animal,p10,Protein Titration Pilot ,D7,-0.000920354,0.062440926,-0.113368065
L12,Plant,p18,NHANES Mouse Pilot,D7,0.150178445,-0.025181518,0.125132306
PT175,Plant,p10,Protein Titration Pilot ,D7,-0.04029111,0.028934778,-0.016839321
N10,Plant,p10,NHANES Mouse Pilot,D7,0.30959049,-0.086746625,-0.061226459
PT015,Plant,p18,Protein Titration Pilot ,D3,-0.033316516,0.024541353,0.064483396
PT098,PF,p00,Protein Titration Pilot ,D0,-0.0671307,0.033344952,-0.022529896
PT056,Animal,p18,Protein Titration Pilot ,D1,-0.010279461,0.030203836,0.055060291
PT063,Plant,p14,Protein Titration Pilot ,D1,-0.096734388,-0.095246377,0.02260505
PT157,Plant,p06,Protein Titration Pilot ,D3,-0.05245228,0.0425367,0.012238069
PT055,PF,p00,Protein Titration Pilot ,D2,0.023384305,0.045029284,0.118551678
PT148,Animal,p14,Protein Titration Pilot ,D3,-0.106240556,0.042267454,0.009067305
L3,Control,p05,NHANES Mouse Pilot,D7,0.231429232,-0.075111976,-0.011247998
PT025,Animal,p06,Protein Titration Pilot ,D3,-0.050860574,-0.143503724,0.052576819
PT106,Plant,p14,Protein Titration Pilot ,D1,-0.121445577,-0.070605605,-0.000181493
PT154,Plant,p10,Protein Titration Pilot ,D3,-0.040872059,0.012223534,-0.044231226
PT049,Plant,p06,Protein Titration Pilot ,D2,-0.06894527,-0.057159963,0.023580826
PT125,Animal,p14,Protein Titration Pilot ,D2,-0.090703988,0.029140381,0.052694161
PT176,Plant,p10,Protein Titration Pilot ,D7,-0.032968913,-0.00653091,-0.081575471
L1,Control,p18,NHANES Mouse Pilot,D7,0.101094237,-0.026142135,0.058201919
